word,count,keep
"holding time",16,Y
"Pressure",16,Y
"coatings",16,Y
"Solidification process",16,Y
"CMAS",16,Y
"Friction coefficient",16,Y
"QMMF",16,Y
"Alloy D",16,Y
"Optical microscopy",16,Y
"CMSX-4",15,Y
"Cu particles",15,Y
"twins",15,Y
"Electron Backscattered Diffraction (EBSD)",15,Y
"molecular dynamics simulations",15,Y
"equiaxed grains",15,Y
"Base metal",15,Y
"Table 4",15,Y
"Grain Boundary (GB)",15,Y
"Steel",15,Y
"o phase",15,Y
"Nitrides",15,Y
"MEA-AT-900",15,Y
"titanium alloys",15,Y
"Thermocouples",15,Y
"M₂₃C₆ phase",15,Y
"TiC",15,Y
"thermomechanical processing",15,Y
"Temperature (T)",15,Y
"γ' particles",15,Y
"Pure Ni",15,Y
"oxides",15,Y
"Tensile tests",15,Y
"Alloy E",15,Y
"M₃B₂",15,Y
"Cutting speed",15,Y
"M₆C碳化物",15,Y
"锰 (Mn)",15,Y
"钼 (Mo)",15,Y
"diffusion",14,Y
"HAADF-STEM",14,Y
"Metals",14,Y
"Grain growth",14,Y
"martensitic transformation",14,Y
"Microstructural features",14,Y
"Twinning",14,Y
"Brittle fracture",14,Y
"Creep strength",14,Y
"AlN",14,Y
"Vanadium (V)",14,Y
"Austenitic stainless steels",14,Y
"Aging Temperature",14,Y
"Fe₂O₃",14,Y
"Au atoms",14,Y
"Wear resistance",14,Y
"Phosphorus (P)",14,Y
"alloy matrix",14,Y
"particles",14,Y
"physical properties",14,Y
"Investment Casting",14,Y
"casting",14,Y
"MS shell",14,Y
"Dendritic structure",14,Y
"Die",14,Y
"Borides",14,Y
"elements",14,Y
"Alloy A",14,Y
"Turbine Disk",14,Y
"γ' precipitate",14,Y
"HT₃",14,Y
"CO₂",14,Y
"Turbine blade",14,Y
"Hot corrosion resistance",14,Y
"镍 (Ni)",14,Y
"A合金",14,Y
"N合金",14,Y
"Specimen",13,Y
"Thermodynamic calculations",13,Y
"Co (Cobalt)",13,Y
"MnO₂",13,Y
"thermal stress",13,Y
"Aluminum alloys",13,Y
"Zinc (Zn)",13,Y
"Dislocation motion",13,Y
"Temperature range",13,Y
"BCC phase",13,Y
"transmission electron microscope (TEM)",13,Y
"Al content",13,Y
"Crystal orientation",13,Y
"United States",13,Y
"Solution Temperature",13,Y
"Tensile test",13,Y
"Carbide particles",13,Y
"solution treatment temperature",13,Y
"Creep Rupture Life",13,Y
"XRD patterns",13,Y
"OR 1",13,Y
"CNG sample",13,Y
"core",13,Y
"Ti atoms",13,Y
"single crystals",13,Y
"Creep life",13,Y
"Constitutive model",13,Y
"Simulation",13,Y
"Tantalum (Ta)",13,Y
"V₃O₇",13,Y
"NaCl",13,Y
"China",13,Y
"K₄₁₆₉",13,Y
"wall thickness",13,Y
"Workpiece",13,Y
"Fe₂-NT",13,Y
"cobalt alloys",13,Y
"Calcium (Ca)",13,Y
"Tantalum",13,Y
"μ phase",13,Y
"B₁₂P₂",13,Y
"RFA",13,Y
"Sample 1",13,Y
"Alloy 1",12,Y
"polycrystalline materials",12,Y
"Alloy 5",12,Y
"first-principles calculations",12,Y
"Crack",12,Y
"Dendrites",12,Y
"TEM analysis",12,Y
"experimental data",12,Y
"average grain size",12,Y
"deformation twinning",12,Y
"Raman spectroscopy",12,Y
"Ultimate Tensile Strength (UTS)",12,Y
"micro-cracks",12,Y
"Tin (Sn)",12,Y
"Alloy 2",12,Y
"castings",12,Y
"gamma prime phase",12,Y
"SiC",12,Y
"Fracture Surface",12,Y
"high temperatures",12,Y
"Fe₃O₄",12,Y
"conductivity",12,Y
"Fracture",12,Y
"Nanograins",12,Y
"fatigue strength",12,Y
"coating",12,Y
"internal stresses",12,Y
"Heat treatments",12,Y
"Oxygen content",12,Y
"glass",12,Y
"Aluminium alloys",12,Y
"Hydrogen (H)",12,Y
"fatigue cracks",12,Y
"deformation",12,Y
"Fe₀-MT",12,Y
"Zinc sulfide",12,Y
"Iridium",12,Y
"Allvac",12,Y
"MM-509",12,Y
"Cellular structure",12,Y
"BTM",12,Y
"M₆C相",12,Y
"D合金",12,Y
"Sample 2",12,Y
"Yield Strength (YS)",11,Y
"Ingot",11,Y
"Hafnium",11,Y
"Ni-based alloys",11,Y
"Additive manufacturing",11,Y
"Heat treatment process",11,Y
"yield stress",11,Y
"MatSAM",11,Y
"corrosion",11,Y
"Stacking Faults (SFs)",11,Y
"GeTe",11,Y
"Solid solution strengthening",11,Y
"Homogenization",11,Y
"Quenching",11,Y
"crack growth",11,Y
"Thermal stability",11,Y
"metal",11,Y
"stainless steel",11,Y
"Reduction of Area",11,Y
"C (Carbon)",11,Y
"as-cast microstructure",11,Y
"TiN",11,Y
"Energy",11,Y
"surface morphology",11,Y
"Calcium",11,Y
"Aging",11,Y
"vacuum",11,Y
"Refractory metals",11,Y
"HT alloy",11,Y
"cooling rates",11,Y
"vacuum furnace",11,Y
"eutectoid structure",11,Y
"Particle size",11,Y
"casting process",11,Y
"Aircraft engines",11,Y
"Argon",11,Y
"Mo nanoparticles",11,Y
"nanostructured materials",11,Y
"aerospace applications",11,Y
"MoO₃",11,Y
"M₃B₂ borides",11,Y
"TCP phase",11,Y
"硼 (B)",11,Y
"锡 (Sn)",11,Y
"铅 (Pb)",11,Y
"Inconel 718 alloy",11,Y
"钙 (Ca)",11,Y
"M₂₃C₆相",11,Y
"scanning electron microscope",11,Y
"Calcium oxide",11,Y
"Optical Microscope",10,Y
"mechanical performance",10,Y
"solidification",10,Y
"segregation",10,Y
