word,count,keep
"o phase",15,N
"oxides",15,N
"titanium alloys",15,N
"twins",15,N
"Aging Temperature",14,N
"AlN",14,N
"Alloy A",14,N
"Au atoms",14,N
"Austenitic stainless steels",14,N
"A合金",14,N
"CO₂",14,N
"Dendritic structure",14,N
"Die",14,N
"Fe₂O₃",14,N
"HT₃",14,N
"MS shell",14,N
"Metals",14,N
"Microstructural features",14,N
"N合金",14,N
"Turbine Disk",14,N
"Turbine blade",14,N
"Twinning",14,N
"Wear resistance",14,N
"alloy matrix",14,N
"martensitic transformation",14,N
"physical properties",14,N
"Aluminum alloys",13,N
"BCC phase",13,N
"B₁₂P₂",13,N
"CNG sample",13,N
"China",13,N
"Crystal orientation",13,N
"Fe₂-NT",13,N
"K₄₁₆₉",13,N
"MnO₂",13,N
"NaCl",13,N
"OR 1",13,N
"RFA",13,N
"Sample 1",13,N
"Solution Temperature",13,N
"Specimen",13,N
"Tensile test",13,N
"Ti atoms",13,N
"United States",13,N
"V₃O₇",13,N
"Workpiece",13,N
"Zinc (Zn)",13,N
"cobalt alloys",13,N
"core",13,N
"single crystals",13,N
"solution treatment temperature",13,N
"wall thickness",13,N
"μ phase",13,N
"Alloy 1",12,N
"Alloy 2",12,N
"Alloy 5",12,N
"Allvac",12,N
"Aluminium alloys",12,N
"BTM",12,N
"Cellular structure",12,N
"D合金",12,N
"Fe₀-MT",12,N
"Fe₃O₄",12,N
"Iridium",12,N
"MM-509",12,N
"Sample 2",12,N
"SiC",12,N
"Tin (Sn)",12,N
"Zinc sulfide",12,N
"conductivity",12,N
"deformation",12,N
"deformation twinning",12,N
"glass",12,N
"polycrystalline materials",12,N
"Aircraft engines",11,N
"Argon",11,N
"Energy",11,N
"GeTe",11,N
"HT alloy",11,N
"MatSAM",11,N
"Mo nanoparticles",11,N
"M₃B₂ borides",11,N
"Particle size",11,N
"Reduction of Area",11,N
"Refractory metals",11,N
"TCP phase",11,N
"TiN",11,N
"aerospace applications",11,N
"as-cast microstructure",11,N
"cooling rates",11,N
"eutectoid structure",11,N
"metal",11,N
"nanostructured materials",11,N
"stainless steel",11,N
"surface morphology",11,N
"vacuum",11,N
"vacuum furnace",11,N
"铅 (Pb)",11,N
"锡 (Sn)",11,N
"mechanical performance",10,N
"segregation",10,N
"Activation energy",0,N
"Diffusion",0,N
"Electric field",0,N
"Lead (Pb)",0,N
"Liquid phase",0,N
"Process parameters",0,N
