raw_relation,normalized_relation,count
CORRESPONDS_TO,CORRELATES_WITH,339
CAUSED_BY,CAUSES_OR_CONTRIBUTES_TO,338
EXPLAINS,DESCRIBES_OR_DEFINES,334
USED_WITH,USES_OR_APPLIES_TO,333
ATTRIBUTED_TO,CAUSES_OR_CONTRIBUTES_TO,329
INCORPORATES,CONTAINS_OR_PART_OF,327
ADDED_TO,PROCESSED_OR_SUBJECTED_TO,322
PREVENTS,REDUCES_OR_INHIBITS,318
REPRESENTS,DESCRIBES_OR_DEFINES,318
LOCATED_IN,LOCATED_OR_OCCURS_IN,316
COMBINES_WITH,INTERACTS_WITH,315
CONFIRMS,OBSERVES_OR_MEASURES,315
ACHIEVES,PRODUCES_OR_TRANSFORMS_TO,309
IS_INSTANCE_OF,IS_A,306
STUDIED,OBSERVES_OR_MEASURES,303
STABILIZES,PROMOTES_OR_INCREASES,302
FACILITATES,PROMOTES_OR_INCREASES,301
PUBLISHED_IN,PUBLICATION_METADATA,301
TESTED_UNDER,OBSERVES_OR_MEASURES,296
STRENGTHENS,PROMOTES_OR_INCREASES,292
QUANTIFIES,MODELS_OR_PREDICTS,288
OCCURS_AT,LOCATED_OR_OCCURS_IN,288
SURROUNDED_BY,LOCATED_OR_OCCURS_IN,287
CALCULATES,MODELS_OR_PREDICTS,287
ELIMINATES,REDUCES_OR_INHIBITS,287
DISPLAYS,HAS_OR_EXHIBITS,275
MEASURED_BY,OBSERVES_OR_MEASURES,264
BELONGS_TO,CONTAINS_OR_PART_OF,263
AFFECTED_BY,AFFECTS_OR_INFLUENCES,261
DRIVES,CAUSES_OR_CONTRIBUTES_TO,258
RELATES_TO,CORRELATES_WITH,258
PRODUCED_BY,PRODUCES_OR_TRANSFORMS_TO,258
LACKS,NO_EFFECT_OR_EXCLUDES,255
COMBINED_WITH,INTERACTS_WITH,254
OBSERVES,OBSERVES_OR_MEASURES,254
EXPOSED_TO,PROCESSED_OR_SUBJECTED_TO,251
CONTRASTED_WITH,COMPARES_WITH,249
USED_TO_ANALYZE,USES_OR_APPLIES_TO,247
PROVIDES,PROMOTES_OR_INCREASES,245
IS_PART_OF,CONTAINS_OR_PART_OF,244
EVALUATED_BY,OBSERVES_OR_MEASURES,242
GOVERNS,AFFECTS_OR_INFLUENCES,242
TRANSITIONS_TO,PRODUCES_OR_TRANSFORMS_TO,240
EXTENDS,CONNECTS_OR_FLOWS_TO,238
TESTED_IN,OBSERVES_OR_MEASURES,238
ACCELERATES,PROMOTES_OR_INCREASES,237
YIELDS,PRODUCES_OR_TRANSFORMS_TO,237
ALTERNATIVE_TO,AFFECTS_OR_INFLUENCES,236
FOLLOWED_BY,TEMPORAL_ORDER,233
EXCEEDS,COMPARES_WITH,232
CONTAIN,CONTAINS_OR_PART_OF,231
HAS_VALUE,HAS_OR_EXHIBITS,231
DISSOLVES,PRODUCES_OR_TRANSFORMS_TO,228
MAINTAINS,OTHER,224
VALIDATES,MODELS_OR_PREDICTS,223
IS_COMPONENT_OF,CONTAINS_OR_PART_OF,223
ACTIVATES,PROMOTES_OR_INCREASES,218
LIMITS,REDUCES_OR_INHIBITS,215
COEXISTS_WITH,INTERACTS_WITH,215
EXCLUDES,NO_EFFECT_OR_EXCLUDES,213
INFLUENCE,AFFECTS_OR_INFLUENCES,212
CONTRIBUTED_TO,CAUSES_OR_CONTRIBUTES_TO,212
PERFORMED_ON,PRODUCES_OR_TRANSFORMS_TO,209
ENABLES_FORMATION_OF,PROMOTES_OR_INCREASES,208
USED_TO_CALCULATE,USES_OR_APPLIES_TO,206
HINDERS,REDUCES_OR_INHIBITS,205
REFINES,OTHER,204
MODULATES,AFFECTS_OR_INFLUENCES,201
REACTS_WITH,INTERACTS_WITH,200
IMPACTS,AFFECTS_OR_INFLUENCES,197
CO-AUTHORED,PUBLICATION_METADATA,197
UTILIZES,USES_OR_APPLIES_TO,196
TESTS,OBSERVES_OR_MEASURES,195
LOCATED_AT,LOCATED_OR_OCCURS_IN,194
FABRICATES,PROCESSED_OR_SUBJECTED_TO,194
TESTED_WITH,OBSERVES_OR_MEASURES,194
INTRODUCES,PRODUCES_OR_TRANSFORMS_TO,192
SURROUNDS,LOCATED_OR_OCCURS_IN,192
USED,USES_OR_APPLIES_TO,188
FUNDED_BY,PUBLICATION_METADATA,187
RESULTS_FROM,CAUSES_OR_CONTRIBUTES_TO,186
REPLACES,PRODUCES_OR_TRANSFORMS_TO,186
SUSCEPTIBLE_TO,OTHER,185
MADE_OF,CONTAINS_OR_PART_OF,181
CONTAINS_ELEMENT,CONTAINS_OR_PART_OF,181
HAS_COUNTERPART,COMPARES_WITH,179
MATCHES,CORRELATES_WITH,177
PREPARED_BY,PROCESSED_OR_SUBJECTED_TO,177
REMOVES,OTHER,177
SEGREGATES_TO,LOCATED_OR_OCCURS_IN,176
FORMS_IN,PRODUCES_OR_TRANSFORMS_TO,175
CONSISTS_OF,CONTAINS_OR_PART_OF,175
DESCRIBED_BY,DESCRIBES_OR_DEFINES,174
ORIGINATES_FROM,PROCESSED_OR_SUBJECTED_TO,174
COMPOSES,CONTAINS_OR_PART_OF,173
USED_TO_STUDY,USES_OR_APPLIES_TO,171
FABRICATED_BY,PROCESSED_OR_SUBJECTED_TO,170
DEVELOPED,PRODUCES_OR_TRANSFORMS_TO,168
PROTECTS,PROMOTES_OR_INCREASES,168
AGREES_WITH,COMPARES_WITH,167
GOVERNED_BY,DEPENDS_ON_OR_REQUIRES,167
PRECIPITATES,PRODUCES_OR_TRANSFORMS_TO,166
CONSISTENT_WITH,COMPARES_WITH,165
PARAMETER_OF,HAS_OR_EXHIBITS,164
AFFILIATED_WITH,PUBLICATION_METADATA,164
EXPERIENCES,OTHER,162
ESTIMATES,MODELS_OR_PREDICTS,162
PARTICIPATES_IN,PROCESSED_OR_SUBJECTED_TO,159
DEPOSITED_ON,LOCATED_OR_OCCURS_IN,159
PRESERVES,PROMOTES_OR_INCREASES,158
JOINS,CONNECTS_OR_FLOWS_TO,156
RESISTS,REDUCES_OR_INHIBITS,153
CONSTRAINS,DEPENDS_ON_OR_REQUIRES,150
CAUSES_FORMATION_OF,CAUSES_OR_CONTRIBUTES_TO,149
MINIMIZES,REDUCES_OR_INHIBITS,148
SIMILAR_TO,COMPARES_WITH,146
STRENGTHENED_BY,PROMOTES_OR_INCREASES,146
VARIES_WITH,CORRELATES_WITH,145
USED_AS,USES_OR_APPLIES_TO,145
EXAMINES,OBSERVES_OR_MEASURES,144
COMPARES_WITH,COMPARES_WITH,144
RESEMBLES,COMPARES_WITH,144
INCLUDE,CONTAINS_OR_PART_OF,144
IMPROVES_UPON,COMPARES_WITH,144
MITIGATES,REDUCES_OR_INHIBITS,144
CREATES,PRODUCES_OR_TRANSFORMS_TO,141
EQUIPPED_WITH,CONTAINS_OR_PART_OF,141
DEPOSITS,PRODUCES_OR_TRANSFORMS_TO,141
GROUPED_WITH,COMPARES_WITH,140
WEAKENS,REDUCES_OR_INHIBITS,140
CONSIDERS,OTHER,140
DEFINED_AS,DESCRIBES_OR_DEFINES,139
MANIFESTS_AS,HAS_OR_EXHIBITS,138
DEVELOPS,PRODUCES_OR_TRANSFORMS_TO,138
EMPLOYS,USES_OR_APPLIES_TO,137
HAS_HIGHER,HAS_OR_EXHIBITS,136
SUBJECT_TO,PROCESSED_OR_SUBJECTED_TO,136
APPLIED_IN,USES_OR_APPLIES_TO,136
DOMINATES,AFFECTS_OR_INFLUENCES,135
EXEMPLIFIES,DESCRIBES_OR_DEFINES,133
COMPONENT_OF,CONTAINS_OR_PART_OF,133
HAS_STRUCTURE,HAS_OR_EXHIBITS,133
MANUFACTURED_BY,PROCESSED_OR_SUBJECTED_TO,132
DEMONSTRATES,OBSERVES_OR_MEASURES,131
IS_A_TYPE_OF,IS_A,131
DOES_NOT_AFFECT,NO_EFFECT_OR_EXCLUDES,131
MODELED_BY,MODELS_OR_PREDICTS,130
HAS_NO_EFFECT_ON,NO_EFFECT_OR_EXCLUDES,129
OCCURS_DURING,TEMPORAL_ORDER,129
INDUCES_FORMATION_OF,CAUSES_OR_CONTRIBUTES_TO,129
COMPRISES,CONTAINS_OR_PART_OF,128
CAUSE,CAUSES_OR_CONTRIBUTES_TO,128
ANALYZED_USING,OBSERVES_OR_MEASURES,127
IS_USED_IN,USES_OR_APPLIES_TO,127
CAPTURES,OBSERVES_OR_MEASURES,127
MEASURED_IN,OBSERVES_OR_MEASURES,126
FORMED_BY,PRODUCES_OR_TRANSFORMS_TO,125
CONSTITUTES,OTHER,124
COVERS,OTHER,124
EXTRACTS,OTHER,123
APPLIES,USES_OR_APPLIES_TO,121
IS_FORM_OF,PRODUCES_OR_TRANSFORMS_TO,121
IS_VARIANT_OF,IS_A,121
PERFORMS,PRODUCES_OR_TRANSFORMS_TO,120
IMAGES,OTHER,120
ENABLE,PROMOTES_OR_INCREASES,115
CLASSIFIED_AS,IS_A,115
RETAINS,OTHER,114
CONTROLLED_BY,AFFECTS_OR_INFLUENCES,113
HAS_PARAMETER,HAS_OR_EXHIBITS,112
ADDRESSES,PROCESSED_OR_SUBJECTED_TO,112
STUDIED_IN,OBSERVES_OR_MEASURES,112
APPLIED_ON,USES_OR_APPLIES_TO,112
ILLUSTRATES,DESCRIBES_OR_DEFINES,110
FORM,PRODUCES_OR_TRANSFORMS_TO,110
TRANSFORMS,PRODUCES_OR_TRANSFORMS_TO,109
IMPLEMENTED_IN,PROCESSED_OR_SUBJECTED_TO,108
HAS_VARIANT,HAS_OR_EXHIBITS,108
PROMOTES_PRECIPITATION_OF,PROMOTES_OR_INCREASES,107
COMPUTES,MODELS_OR_PREDICTS,107
EVOLVES_INTO,PRODUCES_OR_TRANSFORMS_TO,107
DETERMINED_BY,AFFECTS_OR_INFLUENCES,106
DOPES,PROCESSED_OR_SUBJECTED_TO,106
IS_SIMILAR_TO,COMPARES_WITH,106
EVALUATED_FOR,OBSERVES_OR_MEASURES,105
SEPARATES,PRODUCES_OR_TRANSFORMS_TO,105
DOMINATED_BY,AFFECTS_OR_INFLUENCES,104
ANALYZED,OBSERVES_OR_MEASURES,103
INTERFACES_WITH,CONNECTS_OR_FLOWS_TO,103
ALIGNS_WITH,COMPARES_WITH,103
VALIDATED_AGAINST,MODELS_OR_PREDICTS,102
DEFINED_USING,DESCRIBES_OR_DEFINES,99
AFFECT,AFFECTS_OR_INFLUENCES,98
OCCUR_IN,LOCATED_OR_OCCURS_IN,98
SUBSTITUTES,OTHER,98
IMPLEMENTS,PROCESSED_OR_SUBJECTED_TO,98
MEASURED_FOR,OBSERVES_OR_MEASURES,97
CONTRIBUTE_TO,CAUSES_OR_CONTRIBUTES_TO,97
USED_TO_PREPARE,USES_OR_APPLIES_TO,97
DECOMPOSES_INTO,CONTAINS_OR_PART_OF,96
COLLABORATES_WITH,INTERACTS_WITH,96
FEATURES,HAS_OR_EXHIBITS,95
REDUCE,REDUCES_OR_INHIBITS,94
ALIGNED_WITH,COMPARES_WITH,94
CAUSES_DECREASE_IN,CAUSES_OR_CONTRIBUTES_TO,93
CORRELATED_WITH,CORRELATES_WITH,93
DECLARES,OTHER,93
INDUCES_PRECIPITATION_OF,CAUSES_OR_CONTRIBUTES_TO,92
SUITABLE_FOR,USES_OR_APPLIES_TO,91
EQUALS,CORRELATES_WITH,90
CONTRIBUTES_TO_FORMATION_OF,CAUSES_OR_CONTRIBUTES_TO,90
ACKNOWLEDGES,PUBLICATION_METADATA,90
VERIFIES,OBSERVES_OR_MEASURES,89
AUTHORED_BY,PUBLICATION_METADATA,89
HAS_LOWER,HAS_OR_EXHIBITS,88
INCLUDED_IN,CONTAINS_OR_PART_OF,88
HAS_MICROSTRUCTURE,HAS_OR_EXHIBITS,88
CALCULATED_USING,MODELS_OR_PREDICTS,88
EDITED,OTHER,87
DEFORMS_VIA,PRODUCES_OR_TRANSFORMS_TO,87
REFERENCES,PUBLICATION_METADATA,86
COATED_WITH,PROCESSED_OR_SUBJECTED_TO,86
HAS_CRYSTALLOGRAPHIC_PLANE,HAS_OR_EXHIBITS,86
INTEGRATES,OTHER,85
PROCESSED_INTO,PROCESSED_OR_SUBJECTED_TO,85
GUIDES,DESCRIBES_OR_DEFINES,85
INTERFERES_WITH,REDUCES_OR_INHIBITS,85
REQUIRED_FOR,DEPENDS_ON_OR_REQUIRES,84
USED_TO_INVESTIGATE,USES_OR_APPLIES_TO,84
FUNDED,PUBLICATION_METADATA,84
BENEFITS,OTHER,84
TREATED_WITH,PROCESSED_OR_SUBJECTED_TO,84
ENABLED_BY,PROMOTES_OR_INCREASES,83
REPORTS,OBSERVES_OR_MEASURES,83
MAXIMIZES,OTHER,83
DETERIORATES,OTHER,83
CONSUMES,OTHER,83
INCREASE,PROMOTES_OR_INCREASES,82
OBSERVED_AT,OBSERVES_OR_MEASURES,82
ENABLES_PRODUCTION_OF,PROMOTES_OR_INCREASES,82
PRECIPITATES_IN,PRODUCES_OR_TRANSFORMS_TO,82
ACTS_ON,OTHER,82
COMPETES_WITH,OTHER,81
OPERATES_AT,OTHER,81
EXHIBITS_HIGHER,HAS_OR_EXHIBITS,81
DRIVEN_BY,CAUSES_OR_CONTRIBUTES_TO,81
CAUSES_PRECIPITATION_OF,CAUSES_OR_CONTRIBUTES_TO,81
OCCUPIES,OTHER,81
EVALUATED_WITH,OBSERVES_OR_MEASURES,80
DEVIATES_FROM,OTHER,79
IS_SENSITIVE_TO,OTHER,79
STUDIED_WITH,OBSERVES_OR_MEASURES,79
EXEMPLIFIED_BY,DESCRIBES_OR_DEFINES,78
POSSESSES,OTHER,78
INCLUDES_TYPE,CONTAINS_OR_PART_OF,78
ENHANCED_BY,PROMOTES_OR_INCREASES,77
UNDERGO,PROCESSED_OR_SUBJECTED_TO,77
DESIGNED_FOR,OTHER,77
NUCLEATES,OTHER,77
PREPARES,PROCESSED_OR_SUBJECTED_TO,77
MACHINES,OTHER,76
GENERATE,PRODUCES_OR_TRANSFORMS_TO,76
OBSERVED,OBSERVES_OR_MEASURES,76
COUPLED_WITH,OTHER,76
PRODUCED,PRODUCES_OR_TRANSFORMS_TO,76
ENRICHES,OTHER,76
USED_TO_DETERMINE,AFFECTS_OR_INFLUENCES,75
IMPEDES,OTHER,75
CONDUCTED_AT,OTHER,75
INVESTIGATED_BY,OBSERVES_OR_MEASURES,75
EMBEDDED_IN,OTHER,75
LEADS_TO_FORMATION_OF,CAUSES_OR_CONTRIBUTES_TO,75
SHEARS,OTHER,75
INPUT_TO,OTHER,74
PARTITIONS_TO,CONTAINS_OR_PART_OF,74
PREPARED_WITH,PROCESSED_OR_SUBJECTED_TO,74
IS_SUBTYPE_OF,OTHER,74
VALIDATED_BY,MODELS_OR_PREDICTS,73
PROCESSED_WITH,PROCESSED_OR_SUBJECTED_TO,73
DISSOLVES_IN,PRODUCES_OR_TRANSFORMS_TO,73
COMPARES_TO,COMPARES_WITH,73
LIMITED_BY,REDUCES_OR_INHIBITS,72
FORMED_IN,PRODUCES_OR_TRANSFORMS_TO,72
AVOIDS,OTHER,72
USE,OTHER,71
REPLACED_BY,PRODUCES_OR_TRANSFORMS_TO,71
REVEALED,OBSERVES_OR_MEASURES,71
RETARDS,OTHER,70
MEASURED_AT,OBSERVES_OR_MEASURES,70
FAVORS,OTHER,70
VISUALIZES,OTHER,70
STUDIED_BY,OBSERVES_OR_MEASURES,70
REPRODUCES,PRODUCES_OR_TRANSFORMS_TO,69
ENHANCE,PROMOTES_OR_INCREASES,69
ALLOYED_WITH,OTHER,69
INITIATES,OTHER,68
IMPLIES,OTHER,68
COMBINES,INTERACTS_WITH,68
OPERATES_IN,OTHER,68
OCCURS_UNDER,LOCATED_OR_OCCURS_IN,68
DECOMPOSES_TO,CONTAINS_OR_PART_OF,68
MADE_FROM,OTHER,68
INSIDE,OTHER,68
PROPOSED,OTHER,67
PERFORMED_WITH,PRODUCES_OR_TRANSFORMS_TO,67
INVESTIGATED,OBSERVES_OR_MEASURES,67
CLASSIFIES,OTHER,67
PUBLISHED_BY,PUBLICATION_METADATA,67
SUGGESTS,OTHER,66
PROVIDES_DATA_FOR,PROMOTES_OR_INCREASES,66
TARGETS,OTHER,66
CONTAINS_PHASE,CONTAINS_OR_PART_OF,65
ACCOUNTS_FOR,OTHER,65
HAS_MATRIX,HAS_OR_EXHIBITS,65
ENABLES_CALCULATION_OF,PROMOTES_OR_INCREASES,65
EXPLAINED_BY,DESCRIBES_OR_DEFINES,64
CHANGES,OTHER,64
REQUIRE,DEPENDS_ON_OR_REQUIRES,64
AUTHORS,PUBLICATION_METADATA,64
ANALYZE,OBSERVES_OR_MEASURES,63
MONITORS,OTHER,63
MODIFIED_BY,AFFECTS_OR_INFLUENCES,63
COMPLEMENTS,OTHER,63
IS_CONSISTENT_WITH,CONTAINS_OR_PART_OF,63
REFERENCED_IN,PUBLICATION_METADATA,63
MANUFACTURES,PROCESSED_OR_SUBJECTED_TO,62
INDEPENDENT_OF,DEPENDS_ON_OR_REQUIRES,62
EVOLVES_TO,PRODUCES_OR_TRANSFORMS_TO,62
COATS,PROCESSED_OR_SUBJECTED_TO,62
HAS_EQUIVALENT_ALLOY,HAS_OR_EXHIBITS,62
COMPLEMENTED_BY,OTHER,61
DISRUPTS,OTHER,61
LOWERS,OTHER,61
STUDY,OTHER,61
FORMS_ON,PRODUCES_OR_TRANSFORMS_TO,61
IDENTIFIED,OBSERVES_OR_MEASURES,61
COMPLIES_WITH,OTHER,61
PRODUCE,PRODUCES_OR_TRANSFORMS_TO,60
ASSUMES,OTHER,60
EXISTS_IN,OTHER,60
USED_TO_OBSERVE,USES_OR_APPLIES_TO,60
USES_PARAMETER,USES_OR_APPLIES_TO,60
USED_BY,USES_OR_APPLIES_TO,60
SERVES_AS,OTHER,60
FOLLOWS_WITH,TEMPORAL_ORDER,59
CALCULATED_FROM,MODELS_OR_PREDICTS,59
RECEIVES_FUNDING_FROM,PUBLICATION_METADATA,59
DEPEND_ON,DEPENDS_ON_OR_REQUIRES,59
PROPAGATES_ALONG,OTHER,59
USED_TO_COMPUTE,USES_OR_APPLIES_TO,59
APPROXIMATES,OTHER,59
DISTINCT_FROM,OTHER,59
LINKED_TO,OTHER,58
INCLUDES_PARAMETER,CONTAINS_OR_PART_OF,58
DERIVES,PROCESSED_OR_SUBJECTED_TO,58
USED_TO_PRODUCE,USES_OR_APPLIES_TO,58
DEPICTS,OTHER,58
RELEASES,OTHER,58
ANALOGOUS_TO,OTHER,58
TESTED_ON,OBSERVES_OR_MEASURES,58
ACKNOWLEDGES_SUPPORT_FROM,PUBLICATION_METADATA,58
GENERATED_BY,PRODUCES_OR_TRANSFORMS_TO,57
PREVENTS_FORMATION_OF,REDUCES_OR_INHIBITS,57
CONDITIONS,OTHER,57
DOES_NOT_EXHIBIT,HAS_OR_EXHIBITS,57
USED_IN_CALCULATION_OF,USES_OR_APPLIES_TO,56
INCORPORATED_INTO,CONTAINS_OR_PART_OF,56
PERFORMED,PRODUCES_OR_TRANSFORMS_TO,56
DETERMINE,AFFECTS_OR_INFLUENCES,56
EXHIBITS_LOWER,HAS_OR_EXHIBITS,56
SPECIFIES,OTHER,56
INCLUDES_VARIANT,CONTAINS_OR_PART_OF,56
EQUIVALENT_TO,OTHER,55
CONTRAST_WITH,COMPARES_WITH,55
EXHIBITS_INCREASED,HAS_OR_EXHIBITS,55
ENRICHED_IN,OTHER,55
IMPROVED_BY,PROMOTES_OR_INCREASES,55
BASES,OTHER,55
SAME_GROUP_AS,OTHER,55
DELAYS,OTHER,54
ENSURES,OTHER,54
CALIBRATES,OTHER,54
MIXED_WITH,OTHER,54
NUCLEATES_AT,OTHER,54
APPEARS_IN,OTHER,54
COMPARES,COMPARES_WITH,54
HAVE,OTHER,54
REGULATES,OTHER,53
OCCURS_ON,LOCATED_OR_OCCURS_IN,53
ALLOYS_WITH,OTHER,53
FORMED_DURING,PRODUCES_OR_TRANSFORMS_TO,53
USED_TO_MEASURE,USES_OR_APPLIES_TO,53
BENEFITS_FROM,OTHER,53
MAY_CONTAIN,CONTAINS_OR_PART_OF,53
FABRICATED_USING,PROCESSED_OR_SUBJECTED_TO,53
HAS_STRUCTURE_AMPLITUDE,HAS_OR_EXHIBITS,53
DEVELOPED_BY,PRODUCES_OR_TRANSFORMS_TO,52
MEDIATES,OTHER,52
HAS_HIGH,HAS_OR_EXHIBITS,52
TRAINED_ON,OTHER,51
DEFINED_IN,DESCRIBES_OR_DEFINES,51
APPROACHES,OTHER,51
DIFFUSES_INTO,USES_OR_APPLIES_TO,51
EXCLUDED_FROM,NO_EFFECT_OR_EXCLUDES,51
USED_TO_CONSTRUCT,USES_OR_APPLIES_TO,51
DESCRIBE,DESCRIBES_OR_DEFINES,51
JOINED_WITH,CONNECTS_OR_FLOWS_TO,51
RESEARCHED,OTHER,51
EXHIBITS_LOW,HAS_OR_EXHIBITS,50
INDUCE,CAUSES_OR_CONTRIBUTES_TO,50
CAUSES_REDUCTION_IN,CAUSES_OR_CONTRIBUTES_TO,50
RESULT_FROM,CAUSES_OR_CONTRIBUTES_TO,50
HAS_LITTLE_EFFECT_ON,HAS_OR_EXHIBITS,50
SUPPORTED,PROMOTES_OR_INCREASES,50
EVALUATED_USING,OBSERVES_OR_MEASURES,50
REFLECTS,OTHER,50
PERFORMED_AT,PRODUCES_OR_TRANSFORMS_TO,50
CONDUCTED_IN,OTHER,50
CONTRADICTS,OTHER,50
ABSENT_IN,OTHER,50
ADJUSTS,OTHER,50
SUPPORTED_BY,PROMOTES_OR_INCREASES,50
NEGATIVELY_AFFECTS,AFFECTS_OR_INFLUENCES,50
HAS_LOW,HAS_OR_EXHIBITS,50
CO_EXISTS_WITH,OTHER,50
COLLABORATED_WITH,INTERACTS_WITH,50
CAN_USE,OTHER,50
EXHIBITS_HIGH,HAS_OR_EXHIBITS,49
REPRESENTED_BY,DESCRIBES_OR_DEFINES,49
ASSESSES,OTHER,49
ACTS_AS,OTHER,49
AND,OTHER,49
DESCRIBED_IN,DESCRIBES_OR_DEFINES,49
SYNTHESIZES,OTHER,49
ENTERS,OTHER,49
BONDS_WITH,OTHER,49
FACILITATES_FORMATION_OF,PROMOTES_OR_INCREASES,49
